,Categoria,Year,ZONA,Value
5,BALDIO URBANO,2011,Casco Urbano,127
6,BALDIO URBANO,2011,Centrito,26
7,BALDIO URBANO,2011,Valle Oriente,33
8,BALDIO URBANO,2020,Casco Urbano,89
9,BALDIO URBANO,2020,Centrito,32
10,BALDIO URBANO,2020,Valle Oriente,25
11,COMERCIO,2011,Casco Urbano,92
12,COMERCIO,2011,Centrito,182
13,COMERCIO,2011,Valle Oriente,15
14,COMERCIO,2020,Casco Urbano,88
15,COMERCIO,2020,Centrito,238
16,COMERCIO,2020,Valle Oriente,15
39,HABITACIONAL MULTIFAMILIAR,2011,Casco Urbano,147
40,HABITACIONAL MULTIFAMILIAR,2011,Centrito,112
41,HABITACIONAL MULTIFAMILIAR,2011,Valle Oriente,1
42,HABITACIONAL MULTIFAMILIAR,2020,Casco Urbano,139
43,HABITACIONAL MULTIFAMILIAR,2020,Centrito,113
44,HABITACIONAL MULTIFAMILIAR,2020,Valle Oriente,2
45,HABITACIONAL UNIFAMILIAR,2011,Casco Urbano,2255
46,HABITACIONAL UNIFAMILIAR,2011,Centrito,1027
47,HABITACIONAL UNIFAMILIAR,2011,Valle Oriente,212
48,HABITACIONAL UNIFAMILIAR,2020,Casco Urbano,2300
49,HABITACIONAL UNIFAMILIAR,2020,Centrito,893
50,HABITACIONAL UNIFAMILIAR,2020,Valle Oriente,211
59,SERVICIOS,2011,Casco Urbano,284
60,SERVICIOS,2011,Centrito,235
61,SERVICIOS,2011,Valle Oriente,39
62,SERVICIOS,2020,Casco Urbano,277
63,SERVICIOS,2020,Centrito,267
64,SERVICIOS,2020,Valle Oriente,41
